utc_timestamp,DE_solar_generation_actual,DE_temperature,DE_radiation_direct_horizontal,DE_radiation_diffuse_horizontal
2015-01-01 08:00:00,340.85,-1.046,8.8773,51.9464
2015-01-01 09:00:00,1623.0,0.072,34.1583,97.0929
2015-01-01 10:00:00,3017.46,0.866,56.5458,120.2907
2015-01-01 11:00:00,4123.22,1.493,62.869,126.2112
2015-01-01 12:00:00,3903.66,1.818,54.2607,115.7275
2015-01-01 13:00:00,2814.08,1.726,28.5704,87.5581
2015-01-01 14:00:00,1299.58,1.103,5.8398,38.3294
2015-01-01 15:00:00,120.15,0.18,0.1808,2.2971
2015-01-01 16:00:00,0.0,-0.154,0.0,0.0
2015-01-01 17:00:00,0.0,-0.336,0.0,0.0
2015-01-01 18:00:00,0.0,-0.41,0.0,0.0
2015-01-01 19:00:00,0.0,-0.451,0.0,0.0
2015-01-01 20:00:00,0.0,-0.493,0.0,0.0
2015-01-01 21:00:00,0.0,-0.505,0.0,0.0
2015-01-01 22:00:00,0.0,-0.481,0.0,0.0
2015-01-01 23:00:00,0.0,-0.493,0.0,0.0
2015-01-02 00:00:00,0.0,-0.49,0.0,0.0
2015-01-02 01:00:00,0.0,-0.432,0.0,0.0
2015-01-02 02:00:00,0.0,-0.326,0.0,0.0
2015-01-02 03:00:00,0.0,-0.17,0.0,0.0
2015-01-02 04:00:00,0.0,-0.016,0.0,0.0
2015-01-02 05:00:00,0.0,0.198,0.0,0.0
2015-01-02 06:00:00,0.0,0.486,0.0,0.0
2015-01-02 07:00:00,1.17,0.893,0.2572,6.4205
2015-01-02 08:00:00,138.5,1.577,1.5738,35.8543
2015-01-02 09:00:00,483.73,2.327,3.6359,68.0313
2015-01-02 10:00:00,987.0,3.027,7.958,100.6625
2015-01-02 11:00:00,1654.74,3.517,10.5469,112.3497
2015-01-02 12:00:00,1897.09,3.729,8.6502,98.9765
2015-01-02 13:00:00,1638.95,3.646,7.0701,76.7582
2015-01-02 14:00:00,844.55,3.205,2.0189,32.6811
2015-01-02 15:00:00,103.58,2.656,0.0472,1.6058
2015-01-02 16:00:00,0.0,2.39,0.0,0.0
2015-01-02 17:00:00,0.0,2.252,0.0,0.0
2015-01-02 18:00:00,0.0,2.089,0.0,0.0
2015-01-02 19:00:00,0.0,1.936,0.0,0.0
2015-01-02 20:00:00,0.0,1.806,0.0,0.0
2015-01-02 21:00:00,0.0,1.66,0.0,0.0
2015-01-02 22:00:00,0.0,1.549,0.0,0.0
2015-01-02 23:00:00,0.0,1.37,0.0,0.0
2015-01-03 00:00:00,0.0,1.169,0.0,0.0
2015-01-03 01:00:00,0.0,1.027,0.0,0.0
2015-01-03 02:00:00,0.0,0.857,0.0,0.0
2015-01-03 03:00:00,0.0,0.633,0.0,0.0
2015-01-03 04:00:00,0.0,0.412,0.0,0.0
2015-01-03 05:00:00,0.0,0.275,0.0,0.0
2015-01-03 06:00:00,0.0,0.174,0.0,0.0
2015-01-03 07:00:00,1.34,0.168,0.1957,6.2257
2015-01-03 08:00:00,325.74,0.565,1.2206,34.9042
2015-01-03 09:00:00,1055.83,1.077,1.8683,57.6725
2015-01-03 10:00:00,1638.67,1.422,1.7873,65.2624
2015-01-03 11:00:00,1725.36,1.595,1.4789,61.9175
2015-01-03 12:00:00,1399.9,1.733,2.015,67.0434
2015-01-03 13:00:00,765.36,1.72,1.9378,55.7007
2015-01-03 14:00:00,302.09,1.395,0.5205,21.6627
2015-01-03 15:00:00,41.42,0.871,0.0152,1.0474
2015-01-03 16:00:00,0.0,0.766,0.0,0.0
2015-01-03 17:00:00,0.0,0.746,0.0,0.0
2015-01-03 18:00:00,0.0,0.844,0.0,0.0
2015-01-03 19:00:00,0.0,0.817,0.0,0.0
2015-01-03 20:00:00,0.0,0.67,0.0,0.0
2015-01-03 21:00:00,0.0,0.677,0.0,0.0
2015-01-03 22:00:00,0.0,0.522,0.0,0.0
2015-01-03 23:00:00,0.0,0.3,0.0,0.0
2015-01-04 00:00:00,0.0,0.213,0.0,0.0
2015-01-04 01:00:00,0.0,0.152,0.0,0.0
2015-01-04 02:00:00,0.0,0.107,0.0,0.0
2015-01-04 03:00:00,0.0,0.058,0.0,0.0
2015-01-04 04:00:00,0.0,0.029,0.0,0.0
2015-01-04 05:00:00,0.0,0.002,0.0,0.0
2015-01-04 06:00:00,0.0,-0.04,0.0,0.0
2015-01-04 07:00:00,3.14,-0.004,0.2448,6.0868
2015-01-04 08:00:00,381.04,0.478,3.822,45.276
2015-01-04 09:00:00,2147.88,1.207,14.2171,91.5359
2015-01-04 10:00:00,3807.43,1.89,32.3216,123.7616
2015-01-04 11:00:00,4578.48,2.43,45.0035,132.0071
2015-01-04 12:00:00,4467.23,2.735,44.4117,120.2897
2015-01-04 13:00:00,2979.64,2.68,29.3239,90.7183
2015-01-04 14:00:00,1493.1,1.999,8.3193,42.9331
2015-01-04 15:00:00,208.27,0.676,0.2467,2.8135
2015-01-04 16:00:00,0.0,0.094,0.0,0.0
2015-01-04 17:00:00,0.0,-0.144,0.0,0.0
2015-01-04 18:00:00,0.0,-0.312,0.0,0.0
2015-01-04 19:00:00,0.0,-0.382,0.0,0.0
2015-01-04 20:00:00,0.0,-0.403,0.0,0.0
2015-01-04 21:00:00,0.0,-0.446,0.0,0.0
2015-01-04 22:00:00,0.0,-0.519,0.0,0.0
2015-01-04 23:00:00,0.0,-0.653,0.0,0.0
2015-01-05 00:00:00,0.0,-0.795,0.0,0.0
2015-01-05 01:00:00,0.0,-0.937,0.0,0.0
2015-01-05 02:00:00,0.0,-1.117,0.0,0.0
2015-01-05 03:00:00,0.0,-1.338,0.0,0.0
2015-01-05 04:00:00,0.0,-1.586,0.0,0.0
2015-01-05 05:00:00,0.0,-1.881,0.0,0.0
2015-01-05 06:00:00,0.0,-2.12,0.0,0.0
2015-01-05 07:00:00,4.29,-2.266,0.6591,8.3555
2015-01-05 08:00:00,484.59,-1.608,10.2294,54.4944
2015-01-05 09:00:00,2240.33,-0.41,36.5156,98.4056
2015-01-05 10:00:00,4217.15,0.616,70.0613,119.3952
2015-01-05 11:00:00,5613.68,1.372,82.4835,123.2022
2015-01-05 12:00:00,5961.41,1.775,70.2481,113.8691
2015-01-05 13:00:00,4835.32,1.813,38.6484,88.7974
2015-01-05 14:00:00,2743.55,0.991,10.5015,43.4285
2015-01-05 15:00:00,528.53,-0.412,0.4101,3.2442
2015-01-05 16:00:00,0.0,-0.973,0.0,0.0
2015-01-05 17:00:00,0.0,-1.229,0.0,0.0
2015-01-05 18:00:00,0.0,-1.419,0.0,0.0
2015-01-05 19:00:00,0.0,-1.552,0.0,0.0
2015-01-05 20:00:00,0.0,-1.664,0.0,0.0
2015-01-05 21:00:00,0.0,-1.798,0.0,0.0
2015-01-05 22:00:00,0.0,-1.973,0.0,0.0
2015-01-05 23:00:00,0.0,-2.161,0.0,0.0
2015-01-06 00:00:00,0.0,-2.337,0.0,0.0
2015-01-06 01:00:00,0.0,-2.482,0.0,0.0
2015-01-06 02:00:00,0.0,-2.628,0.0,0.0
2015-01-06 03:00:00,0.0,-2.785,0.0,0.0
2015-01-06 04:00:00,0.0,-2.976,0.0,0.0
2015-01-06 05:00:00,0.0,-3.156,0.0,0.0
2015-01-06 06:00:00,0.0,-3.336,0.0,0.0002
2015-01-06 07:00:00,3.73,-3.401,2.1634,10.5449
2015-01-06 08:00:00,983.08,-2.299,25.8844,56.815
2015-01-06 09:00:00,3789.47,-0.708,74.4394,88.266
2015-01-06 10:00:00,6085.88,0.495,113.6051,101.852
2015-01-06 11:00:00,7305.03,1.322,116.441,108.7137
2015-01-06 12:00:00,6958.5,1.714,84.0896,107.4618
2015-01-06 13:00:00,4967.93,1.548,39.7135,87.2952
2015-01-06 14:00:00,2383.47,0.361,9.0529,42.23
2015-01-06 15:00:00,417.79,-1.189,0.3344,3.1406
2015-01-06 16:00:00,0.0,-1.708,0.0,0.0
2015-01-06 17:00:00,0.0,-1.868,0.0,0.0
2015-01-06 18:00:00,0.0,-1.931,0.0,0.0
2015-01-06 19:00:00,0.0,-1.947,0.0,0.0
2015-01-06 20:00:00,0.0,-1.923,0.0,0.0
2015-01-06 21:00:00,0.0,-1.881,0.0,0.0
2015-01-06 22:00:00,0.0,-1.792,0.0,0.0
2015-01-06 23:00:00,0.0,-1.657,0.0,0.0
2015-01-07 00:00:00,0.0,-1.433,0.0,0.0
2015-01-07 01:00:00,0.0,-1.172,0.0,0.0
2015-01-07 02:00:00,0.0,-0.899,0.0,0.0
2015-01-07 03:00:00,0.0,-0.633,0.0,0.0
2015-01-07 04:00:00,0.0,-0.42,0.0,0.0
2015-01-07 05:00:00,0.0,-0.203,0.0,0.0
2015-01-07 06:00:00,0.0,-0.043,0.0,0.0003
2015-01-07 07:00:00,2.58,0.156,0.1522,5.4302
2015-01-07 08:00:00,277.08,0.778,1.4357,35.799
2015-01-07 09:00:00,1308.08,1.368,4.234,72.2153
2015-01-07 10:00:00,2662.43,1.87,9.5633,105.7872
2015-01-07 11:00:00,3632.07,2.32,16.6349,124.6671
2015-01-07 12:00:00,3840.43,2.531,16.8762,115.9018
2015-01-07 13:00:00,3339.26,2.422,9.8073,83.532
2015-01-07 14:00:00,1804.01,1.771,2.7875,37.0664
2015-01-07 15:00:00,316.5,0.761,0.1172,2.675
2015-01-07 16:00:00,0.0,0.387,0.0,0.0
2015-01-07 17:00:00,0.0,0.204,0.0,0.0
2015-01-07 18:00:00,0.0,0.022,0.0,0.0
2015-01-07 19:00:00,0.0,-0.097,0.0,0.0
2015-01-07 20:00:00,0.0,-0.196,0.0,0.0
2015-01-07 21:00:00,0.0,-0.253,0.0,0.0
2015-01-07 22:00:00,0.0,-0.219,0.0,0.0
2015-01-07 23:00:00,0.0,-0.067,0.0,0.0
2015-01-08 00:00:00,0.0,0.178,0.0,0.0
2015-01-08 01:00:00,0.0,0.456,0.0,0.0
2015-01-08 02:00:00,0.0,0.723,0.0,0.0
2015-01-08 03:00:00,0.0,0.947,0.0,0.0
2015-01-08 04:00:00,0.0,1.178,0.0,0.0
2015-01-08 05:00:00,0.0,1.459,0.0,0.0
2015-01-08 06:00:00,0.0,1.728,0.0,0.0003
2015-01-08 07:00:00,2.65,2.015,0.1188,5.5796
